Task Name,Assignee,Category,Day,Item,Normal Schedule,Parent item,Person,Phase,Project,Public Holiday,Remark,Status,Sub-item,Text,Type,Urgent,Urgent task arrange
1st Schematic Design Proposal,,"Frontend, PM, Spatial, UIUX/Graphic",,,,,,Schematic Design,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
Maintenance Report,,PM,,,,,,Maintenance,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
,,,,,,,,,,,,Not started,,,,,
,,,,,,,,,,,,Not started,,,Task,,
Maintenance Completion,,PM,,,,,,Maintenance,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
Balance Payment,,"Client, PM",,,,,,Maintenance,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Payment-In,,
,,,,,,,,,,,,Not started,,,,,
Technical Verification,,,,,,,,Schematic Design,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
,,,,,,,,,,,,Not started,,,Task,,
Sample Board for Major Materials,,,,,,,,Schematic Design,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
1st Payment,,"Client, PM",1 day,,,,,Kickoff,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,+$20000,Not started,,,Payment-In,2026/09/10,
,,,,,,,,,,,,Not started,,,Task,,
Kickoff Meeting,,"AVH, BD, Construction, Fabrication, Frontend, PM, Spatial, UIUX/Graphic",,,,,,Kickoff,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Milestone,,
Site Visit,,"AVH, Construction, Fabrication, PM, Spatial, UIUX/Graphic",,,,,,Kickoff,Project Starter (https://app.notion.com/p/Project-Starter-3c9cd84d8d8f80e2b441c9c5db5d49e0?pvs=21),,,Not started,,,Task,,
